"id","region","provincia","comuna","cut","variable","valor","ano","fuente"
89,"Los Lagos","Palena","Hualaihué","10403","N° de hogares unipersonales","1645",NULL,"ADIS"
90,"Los Lagos","Palena","Palena","10404","N° de hogares unipersonales","274",NULL,"ADIS"
91,"Los Lagos","Llanquihue","Puerto Montt","10101","N° de hogares en tramo 40 de calificación socioeconómica","51717",NULL,"ADIS"
92,"Los Lagos","Llanquihue","Calbuco","10102","N° de hogares en tramo 40 de calificación socioeconómica","8548",NULL,"ADIS"
93,"Los Lagos","Llanquihue","Cochamó","10103","N° de hogares en tramo 40 de calificación socioeconómica","1546",NULL,"ADIS"
94,"Los Lagos","Llanquihue","Fresia","10104","N° de hogares en tramo 40 de calificación socioeconómica","3325",NULL,"ADIS"
95,"Los Lagos","Llanquihue","Frutillar","10105","N° de hogares en tramo 40 de calificación socioeconómica","5731",NULL,"ADIS"
96,"Los Lagos","Llanquihue","Los Muermos","10106","N° de hogares en tramo 40 de calificación socioeconómica","5236",NULL,"ADIS"
97,"Los Lagos","Llanquihue","Llanquihue","10107","N° de hogares en tramo 40 de calificación socioeconómica","4545",NULL,"ADIS"
98,"Los Lagos","Llanquihue","Maullín","10108","N° de hogares en tramo 40 de calificación socioeconómica","5678",NULL,"ADIS"
99,"Los Lagos","Llanquihue","Puerto Varas","10109","N° de hogares en tramo 40 de calificación socioeconómica","9697",NULL,"ADIS"
100,"Los Lagos","Chiloé","Castro","10201","N° de hogares en tramo 40 de calificación socioeconómica","9802",NULL,"ADIS"
101,"Los Lagos","Chiloé","Ancud","10202","N° de hogares en tramo 40 de calificación socioeconómica","11846",NULL,"ADIS"
102,"Los Lagos","Chiloé","Chonchi","10203","N° de hogares en tramo 40 de calificación socioeconómica","3787",NULL,"ADIS"
103,"Los Lagos","Chiloé","Curaco de Vélez","10204","N° de hogares en tramo 40 de calificación socioeconómica","970",NULL,"ADIS"
104,"Los Lagos","Chiloé","Dalcahue","10205","N° de hogares en tramo 40 de calificación socioeconómica","4411",NULL,"ADIS"
105,"Los Lagos","Chiloé","Chiloé","10206","N° de hogares en tramo 40 de calificación socioeconómica","1080",NULL,"ADIS"
106,"Los Lagos","Chiloé","Queilén","10207","N° de hogares en tramo 40 de calificación socioeconómica","1848",NULL,"ADIS"
107,"Los Lagos","Chiloé","Quellón","10208","N° de hogares en tramo 40 de calificación socioeconómica","6348",NULL,"ADIS"
108,"Los Lagos","Chiloé","Quemchi","10209","N° de hogares en tramo 40 de calificación socioeconómica","2589",NULL,"ADIS"
109,"Los Lagos","Chiloé","Quinchao","10210","N° de hogares en tramo 40 de calificación socioeconómica","2034",NULL,"ADIS"
110,"Los Lagos","Osorno","Osorno","10301","N° de hogares en tramo 40 de calificación socioeconómica","35416",NULL,"ADIS"
111,"Los Lagos","Osorno","Puerto Octay","10302","N° de hogares en tramo 40 de calificación socioeconómica","2586",NULL,"ADIS"
112,"Los Lagos","Osorno","Purranque","10303","N° de hogares en tramo 40 de calificación socioeconómica","5810",NULL,"ADIS"
113,"Los Lagos","Osorno","Puyehue","10304","N° de hogares en tramo 40 de calificación socioeconómica","2776",NULL,"ADIS"
114,"Los Lagos","Osorno","Río Negro","10305","N° de hogares en tramo 40 de calificación socioeconómica","4682",NULL,"ADIS"
115,"Los Lagos","Osorno","San Juan de la Costa","10306","N° de hogares en tramo 40 de calificación socioeconómica","3138",NULL,"ADIS"
116,"Los Lagos","Osorno","San Pablo","10307","N° de hogares en tramo 40 de calificación socioeconómica","3146",NULL,"ADIS"
117,"Los Lagos","Palena","Chaitén","10401","N° de hogares en tramo 40 de calificación socioeconómica","1064",NULL,"ADIS"
118,"Los Lagos","Palena","Futaleufú","10402","N° de hogares en tramo 40 de calificación socioeconómica","678",NULL,"ADIS"
119,"Los Lagos","Palena","Hualaihué","10403","N° de hogares en tramo 40 de calificación socioeconómica","2944",NULL,"ADIS"
120,"Los Lagos","Palena","Palena","10404","N° de hogares en tramo 40 de calificación socioeconómica","464",NULL,"ADIS"
121,"Los Lagos","Llanquihue","Puerto Montt","10101","N° total de hogares","92388",NULL,"ADIS"
122,"Los Lagos","Llanquihue","Calbuco","10102","N° total de hogares","13671",NULL,"ADIS"
123,"Los Lagos","Llanquihue","Cochamó","10103","N° total de hogares","2205",NULL,"ADIS"
124,"Los Lagos","Llanquihue","Fresia","10104","N° total de hogares","4822",NULL,"ADIS"
125,"Los Lagos","Llanquihue","Frutillar","10105","N° total de hogares","8931",NULL,"ADIS"
126,"Los Lagos","Llanquihue","Los Muermos","10106","N° total de hogares","7418",NULL,"ADIS"
127,"Los Lagos","Llanquihue","Llanquihue","10107","N° total de hogares","7660",NULL,"ADIS"
128,"Los Lagos","Llanquihue","Maullín","10108","N° total de hogares","7765",NULL,"ADIS"
129,"Los Lagos","Llanquihue","Puerto Varas","10109","N° total de hogares","16758",NULL,"ADIS"
130,"Los Lagos","Chiloé","Castro","10201","N° total de hogares","18451",NULL,"ADIS"
131,"Los Lagos","Chiloé","Ancud","10202","N° total de hogares","18748",NULL,"ADIS"
132,"Los Lagos","Chiloé","Chonchi","10203","N° total de hogares","6179",NULL,"ADIS"
133,"Los Lagos","Chiloé","Curaco de Vélez","10204","N° total de hogares","1556",NULL,"ADIS"
134,"Los Lagos","Chiloé","Dalcahue","10205","N° total de hogares","6772",NULL,"ADIS"
135,"Los Lagos","Chiloé","Chiloé","10206","N° total de hogares","1565",NULL,"ADIS"
136,"Los Lagos","Chiloé","Queilén","10207","N° total de hogares","2637",NULL,"ADIS"
137,"Los Lagos","Chiloé","Quellón","10208","N° total de hogares","11194",NULL,"ADIS"
138,"Los Lagos","Chiloé","Quemchi","10209","N° total de hogares","3878",NULL,"ADIS"
139,"Los Lagos","Chiloé","Quinchao","10210","N° total de hogares","3050",NULL,"ADIS"
140,"Los Lagos","Osorno","Osorno","10301","N° total de hogares","58083",NULL,"ADIS"
141,"Los Lagos","Osorno","Puerto Octay","10302","N° total de hogares","3820",NULL,"ADIS"
142,"Los Lagos","Osorno","Purranque","10303","N° total de hogares","8564",NULL,"ADIS"
143,"Los Lagos","Osorno","Puyehue","10304","N° total de hogares","4189",NULL,"ADIS"
144,"Los Lagos","Osorno","Río Negro","10305","N° total de hogares","6800",NULL,"ADIS"
145,"Los Lagos","Osorno","San Juan de la Costa","10306","N° total de hogares","3809",NULL,"ADIS"
146,"Los Lagos","Osorno","San Pablo","10307","N° total de hogares","4541",NULL,"ADIS"
147,"Los Lagos","Palena","Chaitén","10401","N° total de hogares","1820",NULL,"ADIS"
148,"Los Lagos","Palena","Futaleufú","10402","N° total de hogares","1162",NULL,"ADIS"
149,"Los Lagos","Palena","Hualaihué","10403","N° total de hogares","4368",NULL,"ADIS"
150,"Los Lagos","Palena","Palena","10404","N° total de hogares","753",NULL,"ADIS"
151,"Los Lagos","Llanquihue","Puerto Montt","10101","N° de hogares con jefa de hogar mujer","56248",NULL,"ADIS"
152,"Los Lagos","Llanquihue","Calbuco","10102","N° de hogares con jefa de hogar mujer","6164",NULL,"ADIS"
153,"Los Lagos","Llanquihue","Cochamó","10103","N° de hogares con jefa de hogar mujer","916",NULL,"ADIS"
154,"Los Lagos","Llanquihue","Fresia","10104","N° de hogares con jefa de hogar mujer","2106",NULL,"ADIS"
155,"Los Lagos","Llanquihue","Frutillar","10105","N° de hogares con jefa de hogar mujer","4619",NULL,"ADIS"
156,"Los Lagos","Llanquihue","Los Muermos","10106","N° de hogares con jefa de hogar mujer","3097",NULL,"ADIS"
157,"Los Lagos","Llanquihue","Llanquihue","10107","N° de hogares con jefa de hogar mujer","3701",NULL,"ADIS"
158,"Los Lagos","Llanquihue","Maullín","10108","N° de hogares con jefa de hogar mujer","3500",NULL,"ADIS"
159,"Los Lagos","Llanquihue","Puerto Varas","10109","N° de hogares con jefa de hogar mujer","8652",NULL,"ADIS"
160,"Los Lagos","Chiloé","Castro","10201","N° de hogares con jefa de hogar mujer","9416",NULL,"ADIS"
161,"Los Lagos","Chiloé","Ancud","10202","N° de hogares con jefa de hogar mujer","9000",NULL,"ADIS"
162,"Los Lagos","Chiloé","Chonchi","10203","N° de hogares con jefa de hogar mujer","3064",NULL,"ADIS"
163,"Los Lagos","Chiloé","Curaco de Vélez","10204","N° de hogares con jefa de hogar mujer","720",NULL,"ADIS"
164,"Los Lagos","Chiloé","Dalcahue","10205","N° de hogares con jefa de hogar mujer","3143",NULL,"ADIS"
165,"Los Lagos","Chiloé","Chiloé","10206","N° de hogares con jefa de hogar mujer","720",NULL,"ADIS"
