"id","region","provincia","comuna","cut","variable","valor","ano","fuente
"139","Los Lagos","Chiloé","Quinchao","10210","N° total de personas","8105","2021","ADIS"
"140","Los Lagos","Osorno","Osorno","10301","N° total de personas","157684","2021","ADIS"
"141","Los Lagos","Osorno","Puerto Octay","10302","N° total de personas","9337","2021","ADIS"
"142","Los Lagos","Osorno","Purranque","10303","N° total de personas","20987","2021","ADIS"
"143","Los Lagos","Osorno","Puyehue","10304","N° total de personas","11617","2021","ADIS"
"144","Los Lagos","Osorno","Río Negro","10305","N° total de personas","15191","2021","ADIS"
"145","Los Lagos","Osorno","San Juan de la Costa","10306","N° total de personas","9228","2021","ADIS"
"146","Los Lagos","Osorno","San Pablo","10307","N° total de personas","11407","2021","ADIS"
"147","Los Lagos","Palena","Chaitén","10401","N° total de personas","4631","2021","ADIS"
"148","Los Lagos","Palena","Futaleufú","10402","N° total de personas","2939","2021","ADIS"
"149","Los Lagos","Palena","Hualaihué","10403","N° total de personas","10623","2021","ADIS"
"150","Los Lagos","Palena","Palena","10404","N° total de personas","1818","2021","ADIS"
"151","Los Lagos","Llanquihue","Puerto Montt","10101","N° de personas mayores (60 años o más)","35779","2021","ADIS"
"152","Los Lagos","Llanquihue","Calbuco","10102","N° de personas mayores (60 años o más)","7192","2021","ADIS"
"153","Los Lagos","Llanquihue","Cochamó","10103","N° de personas mayores (60 años o más)","1124","2021","ADIS"
"154","Los Lagos","Llanquihue","Fresia","10104","N° de personas mayores (60 años o más)","2892","2021","ADIS"
"155","Los Lagos","Llanquihue","Frutillar","10105","N° de personas mayores (60 años o más)","3777","2021","ADIS"
"156","Los Lagos","Llanquihue","Los Muermos","10106","N° de personas mayores (60 años o más)","4044","2021","ADIS"
"157","Los Lagos","Llanquihue","Llanquihue","10107","N° de personas mayores (60 años o más)","3423","2021","ADIS"
"158","Los Lagos","Llanquihue","Maullín","10108","N° de personas mayores (60 años o más)","3834","2021","ADIS"
"159","Los Lagos","Llanquihue","Puerto Varas","10109","N° de personas mayores (60 años o más)","7101","2021","ADIS"
"160","Los Lagos","Chiloé","Castro","10201","N° de personas mayores (60 años o más)","7860","2021","ADIS"
"161","Los Lagos","Chiloé","Ancud","10202","N° de personas mayores (60 años o más)","8785","2021","ADIS"
"162","Los Lagos","Chiloé","Chonchi","10203","N° de personas mayores (60 años o más)","2798","2021","ADIS"
"163","Los Lagos","Chiloé","Curaco de Vélez","10204","N° de personas mayores (60 años o más)","860","2021","ADIS"
"164","Los Lagos","Chiloé","Dalcahue","10205","N° de personas mayores (60 años o más)","2588","2021","ADIS"
"165","Los Lagos","Chiloé","Puqueldón","10206","N° de personas mayores (60 años o más)","967","2021","ADIS"
"166","Los Lagos","Chiloé","Queilén","10207","N° de personas mayores (60 años o más)","1167","2021","ADIS"
"167","Los Lagos","Chiloé","Quellón","10208","N° de personas mayores (60 años o más)","3780","2021","ADIS"
"168","Los Lagos","Chiloé","Quemchi","10209","N° de personas mayores (60 años o más)","2073","2021","ADIS"
"169","Los Lagos","Chiloé","Quinchao","10210","N° de personas mayores (60 años o más)","1745","2021","ADIS"
"170","Los Lagos","Osorno","Osorno","10301","N° de personas mayores (60 años o más)","29612","2021","ADIS"
"171","Los Lagos","Osorno","Puerto Octay","10302","N° de personas mayores (60 años o más)","1899","2021","ADIS"
"172","Los Lagos","Osorno","Purranque","10303","N° de personas mayores (60 años o más)","4685","2021","ADIS"
"173","Los Lagos","Osorno","Puyehue","10304","N° de personas mayores (60 años o más)","2519","2021","ADIS"
"174","Los Lagos","Osorno","Río Negro","10305","N° de personas mayores (60 años o más)","3468","2021","ADIS"
"175","Los Lagos","Osorno","San Juan de la Costa","10306","N° de personas mayores (60 años o más)","2305","2021","ADIS"
"176","Los Lagos","Osorno","San Pablo","10307","N° de personas mayores (60 años o más)","2673","2021","ADIS"
"177","Los Lagos","Palena","Chaitén","10401","N° de personas mayores (60 años o más)","916","2021","ADIS"
"178","Los Lagos","Palena","Futaleufú","10402","N° de personas mayores (60 años o más)","525","2021","ADIS"
"179","Los Lagos","Palena","Hualaihué","10403","N° de personas mayores (60 años o más)","1842","2021","ADIS"
"180","Los Lagos","Palena","Palena","10404","N° de personas mayores (60 años o más)","408","2021","ADIS"
