"id","region","provincia","comuna","cut","variable","valor","ano","fuente"
77,"Los Lagos","Chiloé","Quellón","10208","N° de personas extranjeras","425",NULL,"ADIS"
78,"Los Lagos","Chiloé","Quemchi","10209","N° de personas extranjeras","23",NULL,"ADIS"
79,"Los Lagos","Chiloé","Quinchao","10210","N° de personas extranjeras","30",NULL,"ADIS"
80,"Los Lagos","Osorno","Osorno","10301","N° de personas extranjeras","1059",NULL,"ADIS"
81,"Los Lagos","Osorno","Puerto Octay","10302","N° de personas extranjeras","55",NULL,"ADIS"
82,"Los Lagos","Osorno","Purranque","10303","N° de personas extranjeras","61",NULL,"ADIS"
83,"Los Lagos","Osorno","Puyehue","10304","N° de personas extranjeras","36",NULL,"ADIS"
84,"Los Lagos","Osorno","Río Negro","10305","N° de personas extranjeras","43",NULL,"ADIS"
85,"Los Lagos","Osorno","San Juan de la Costa","10306","N° de personas extranjeras","20",NULL,"ADIS"
86,"Los Lagos","Osorno","San Pablo","10307","N° de personas extranjeras","38",NULL,"ADIS"
87,"Los Lagos","Palena","Chaitén","10401","N° de personas extranjeras","31",NULL,"ADIS"
88,"Los Lagos","Palena","Futaleufú","10402","N° de personas extranjeras","50",NULL,"ADIS"
89,"Los Lagos","Palena","Hualaihué","10403","N° de personas extranjeras","76",NULL,"ADIS"
90,"Los Lagos","Palena","Palena","10404","N° de personas extranjeras","33",NULL,"ADIS"
91,"Los Lagos","Llanquihue","Puerto Montt","10101","N° de personas con dependencia moderada o severa","2060",NULL,"ADIS"
92,"Los Lagos","Llanquihue","Calbuco","10102","N° de personas con dependencia moderada o severa","239",NULL,"ADIS"
93,"Los Lagos","Llanquihue","Cochamó","10103","N° de personas con dependencia moderada o severa","23",NULL,"ADIS"
94,"Los Lagos","Llanquihue","Fresia","10104","N° de personas con dependencia moderada o severa","86",NULL,"ADIS"
95,"Los Lagos","Llanquihue","Frutillar","10105","N° de personas con dependencia moderada o severa","102",NULL,"ADIS"
96,"Los Lagos","Llanquihue","Los Muermos","10106","N° de personas con dependencia moderada o severa","131",NULL,"ADIS"
97,"Los Lagos","Llanquihue","Llanquihue","10107","N° de personas con dependencia moderada o severa","159",NULL,"ADIS"
98,"Los Lagos","Llanquihue","Maullín","10108","N° de personas con dependencia moderada o severa","95",NULL,"ADIS"
99,"Los Lagos","Llanquihue","Puerto Varas","10109","N° de personas con dependencia moderada o severa","219",NULL,"ADIS"
100,"Los Lagos","Chiloé","Castro","10201","N° de personas con dependencia moderada o severa","372",NULL,"ADIS"
101,"Los Lagos","Chiloé","Ancud","10202","N° de personas con dependencia moderada o severa","301",NULL,"ADIS"
102,"Los Lagos","Chiloé","Chonchi","10203","N° de personas con dependencia moderada o severa","85",NULL,"ADIS"
103,"Los Lagos","Chiloé","Curaco de Vélez","10204","N° de personas con dependencia moderada o severa","38",NULL,"ADIS"
104,"Los Lagos","Chiloé","Dalcahue","10205","N° de personas con dependencia moderada o severa","109",NULL,"ADIS"
105,"Los Lagos","Chiloé","Chiloé","10206","N° de personas con dependencia moderada o severa","20",NULL,"ADIS"
106,"Los Lagos","Chiloé","Queilén","10207","N° de personas con dependencia moderada o severa","49",NULL,"ADIS"
107,"Los Lagos","Chiloé","Quellón","10208","N° de personas con dependencia moderada o severa","160",NULL,"ADIS"
108,"Los Lagos","Chiloé","Quemchi","10209","N° de personas con dependencia moderada o severa","51",NULL,"ADIS"
109,"Los Lagos","Chiloé","Quinchao","10210","N° de personas con dependencia moderada o severa","60",NULL,"ADIS"
110,"Los Lagos","Osorno","Osorno","10301","N° de personas con dependencia moderada o severa","1311",NULL,"ADIS"
111,"Los Lagos","Osorno","Puerto Octay","10302","N° de personas con dependencia moderada o severa","67",NULL,"ADIS"
112,"Los Lagos","Osorno","Purranque","10303","N° de personas con dependencia moderada o severa","245",NULL,"ADIS"
113,"Los Lagos","Osorno","Puyehue","10304","N° de personas con dependencia moderada o severa","57",NULL,"ADIS"
114,"Los Lagos","Osorno","Río Negro","10305","N° de personas con dependencia moderada o severa","167",NULL,"ADIS"
115,"Los Lagos","Osorno","San Juan de la Costa","10306","N° de personas con dependencia moderada o severa","69",NULL,"ADIS"
116,"Los Lagos","Osorno","San Pablo","10307","N° de personas con dependencia moderada o severa","99",NULL,"ADIS"
117,"Los Lagos","Palena","Chaitén","10401","N° de personas con dependencia moderada o severa","32",NULL,"ADIS"
